source,target,weight
The Notorious B.I.G.,Buju Banton,2
The Notorious B.I.G.,Ghostface Killah,2
The Notorious B.I.G.,Raekwon,2
Benny the Butcher,R.J.,3
Quavo,Big Sean,2
Jesse Boykins III,MeLo-X,7
Jesse Boykins III,Machinedrum,4
Jesse Boykins III,Theophilus London,2
Jesse Boykins III,Kilo Kish,2
Jesse Boykins III,Nadastrom,2
Jesse Boykins III,Eddie Piller,2
Jesse Boykins III,Little Simz,2
Jesse Boykins III,Audio Push,2
Jesse Boykins III,MoRuf,2
Jesse Boykins III,Tommy Trash,2
Jesse Boykins III,A‐Trak,2
Theophilus London,Devonté Hynes,4
Theophilus London,Ninjasonik,3
Theophilus London,Maximum Balloon,3
Theophilus London,Solange,3
Theophilus London,Brodinski,2
Kilo Kish,Vince Staples,2
Tommy Trash,D.O.D,2
Belly,Lead Belly,64
Rihanna,2 Mello,2
Rihanna,PARTYNEXTDOOR,2
Rihanna,Sean Paul,2
Rihanna,Beenie Man,2
Rihanna,The Bloody Beetroots,1
Rihanna,Steve Aoki,1
Rihanna,Cham,1
Rihanna,Killer,1
Rihanna,The‐Dream,1
Rihanna,Ryan Leslie,1
Rihanna,SZA,7
Nicki Minaj,Kim Petras,16
Nicki Minaj,Trina,6
Nicki Minaj,Jay Sean,5
Nicki Minaj,Yo Gotti,5
Nicki Minaj,St. Laz,3
Nicki Minaj,Jessie J,19
Nicki Minaj,Ester Dean,2
Nicki Minaj,Meanz of Operation,2
Nicki Minaj,Skylar Grey,2
Nicki Minaj,DJ Whiteowl,2
Nicki Minaj,ButeraMoonlight,4
Skeme,ScHoolboy Q,2
2 Mello,Fat Jon the Ample Soul Physician,2
2 Mello,Nujabes,2
2 Mello,TSUTCHIE,2
2 Mello,Force of Nature,2
2 Mello,Crime Mob,2
2 Mello,Maros,2
2 Mello,Mack 10,2
2 Mello,Danny Brown,2
PARTYNEXTDOOR,dvsn,3
PARTYNEXTDOOR,DJ Candlestick,3
PARTYNEXTDOOR,OG Ron C,3
PARTYNEXTDOOR,Kali Uchis,2
PARTYNEXTDOOR,Murda Beatz,2
PARTYNEXTDOOR,Ca$h Out,2
Sean Paul,Beyoncé,10
Sean Paul,Enrique Iglesias,9
Sean Paul,Descemer Bueno,9
Sean Paul,Gente de Zona,9
Sean Paul,Anne‐Marie,7
Sean Paul,Kybba,2
Sean Paul,Busy Signal,2
Sean Paul,Pretty Ricky,2
Sean Paul,Stefflon Don,4
Beyoncé,DJ ICE,2
Beyoncé,Shakira,24
Enrique Iglesias,DJ ICE,2
Anne‐Marie,Ed Sheeran,1
Anne‐Marie,David Guetta,20
Anne‐Marie,Coi Leray,27
Anne‐Marie,Wretch 32,6
Anne‐Marie,PRGRSHN,6
Anne‐Marie,Tion Wayne,5
Anne‐Marie,Marshmello,7
Anne‐Marie,Clean Bandit,17
Beenie Man,Mr. Vegas,3
Beenie Man,Silver Cat,2
Beenie Man,Buju Banton,2
Beenie Man,Cham,3
The Bloody Beetroots,Greta Svabo Bech,13
The Bloody Beetroots,Dennis Lyxzén,4
The Bloody Beetroots,Teddy Killerz,2
The Bloody Beetroots,Letdown.,2
Steve Aoki,Linkin Park,8
Steve Aoki,Boehm,5
Steve Aoki,WALK THE MOON,5
Steve Aoki,Lauren Jauregui,4
Steve Aoki,Kalan.FrFr,4
Steve Aoki,Hardwell,4
Steve Aoki,Kris Kiss,4
Steve Aoki,Bad Royale,4
Steve Aoki,Mase,4
Steve Aoki,Big Gigantic,4
Steve Aoki,ISÁK,3
Steve Aoki,Vikkstar,3
Steve Aoki,Ekko,3
Steve Aoki,Dimitri Vegas,3
Steve Aoki,Ann Lee,3
Steve Aoki,Afrojack,3
Steve Aoki,Nicky Romero,3
Steve Aoki,Play‐N‐Skillz,4
Steve Aoki,Iggy Azalea,4
Cham,Bounty Killer,5
Cham,Majic Massey,3
Cham,Mr. Easy,2
Cham,Ms. Thing,2
Cham,Killer,2
Bounty Killer,Killer,55
Birdman,Mack Maine,20
Birdman,Toni Braxton,4
Birdman,YoungBoy Never Broke Again,3
Birdman,Boosie Badazz,3
Birdman,E‐40,3
Birdman,DJ Khaled,8
Birdman,Ace Hood,4
Birdman,Hurricane Chris,3
Birdman,Jacquees,2
Birdman,Jeezy,2
Jeezy,DJ Khaled,3
Big Sean,Justin Bieber,12
Big Sean,Halsey,3
Big Sean,Stefflon Don,3
Big Sean,Will Smith,2
Big Sean,OBanga,2
Big Sean,DeJ Loaf,2
Big Sean,Jhené Aiko,2
Big Sean,FERG,2
Big Sean,J. Cole,2
Nas,Akinyele,3
Killer,Ninjaman,2
Killer,Wayne Marshall,2
Killer,Pinchers,2
Stacy Barthe,Tchami,10
The‐Dream,Gym Class Heroes,4
The‐Dream,Sevyn Streeter,4
The‐Dream,LL Cool J,3
The‐Dream,Lloyd Banks,2
The‐Dream,Yo Gotti,2
The‐Dream,Tony Williams,2
The‐Dream,Shawty Lo,2
The‐Dream,Bon Iver,2
Lloyd Banks,Ryan Leslie,3
Ryan Leslie,Red Café,7
Ryan Leslie,Slim,3
Ryan Leslie,Cassie,3
Ryan Leslie,Pusha T,2
Ryan Leslie,M. Pokora,2
Red Café,Jay Rock,3
Justin Bieber,David Guetta,13
Justin Bieber,will.i.am,3
Justin Bieber,Dan + Shay,2
Justin Bieber,Brandon Love,1
Justin Bieber,Chandler Moore,1
Justin Bieber,Khalid,1
Justin Bieber,Mariah Carey,1
Justin Bieber,Poo Bear,3
Justin Bieber,Fred Armisen,1
Justin Bieber,Jon Hamm,1
Justin Bieber,Jonah Hill,1
Justin Bieber,Julian Casablancas,1
David Guetta,Coi Leray,27
David Guetta,Afrojack,9
David Guetta,Ester Dean,9
David Guetta,GLOWINTHEDARK,6
David Guetta,Joachim Garraud,5
David Guetta,Akon,3
David Guetta,Harrison,3
David Guetta,U2,2
David Guetta,Hypaton,16
David Guetta,Kungs,2
David Guetta,Izzy Bizu,2
David Guetta,Chris Willis,40
David Guetta,MORTEN,16
David Guetta,MNEK,2
David Guetta,Clean Bandit,8
David Guetta,Zara Larsson,1
will.i.am,Nicole Scherzinger,12
will.i.am,Cheryl,7
will.i.am,Britney Spears,6
will.i.am,Hans Zimmer,5
will.i.am,Sidney Samson,5
will.i.am,Fergie,4
will.i.am,Jay Rock,3
will.i.am,Ryeland Allison,3
will.i.am,Lorne Balfe,2
will.i.am,The Pussycat Dolls,2
will.i.am,Supernatural,2
will.i.am,Mary J. Blige,2
Fergie,Chris Willis,15
Jay Rock,ScHoolboy Q,4
Jay Rock,Ab‐Soul,11
Jay Rock,Glasses Malone,5
Jay Rock,Roccett,3
Jay Rock,Murphy Lee,3
Jay Rock,Ya Boy,2
Jay Rock,Eastwood,2
Jay Rock,DJ Dave,2
Jay Rock,211,2
Jay Rock,DJ Noodles,2
Mary J. Blige,Kenan Thompson,2
Dan + Shay,Charlie Puth,2
Charlie Puth,Dua Lipa,1
Charlie Puth,Kehlani,7
Charlie Puth,JVKE,2
Charlie Puth,Jimin,2
Charlie Puth,Muni Long,2
Halsey,Khalid,2
Halsey,Stefflon Don,5
Halsey,Marshmello,6
Halsey,The Chainsmokers,14
Stefflon Don,Doja Cat,3
Stefflon Don,MC Fioti,4
Stefflon Don,Sigala,7
Stefflon Don,Mae Muller,7
Stefflon Don,Caity Baser,7
Stefflon Don,Wiley,4
Stefflon Don,Idris Elba,4
Stefflon Don,Saweetie,3
Stefflon Don,Juan Magán,3
Jhené Aiko,H.E.R.,2
FERG,ScHoolboy Q,2
FERG,Lil Yachty,2
J. Cole,Maroon 5,1
J. Cole,Miguel,7
J. Cole,Rockie Fresh,2
J. Cole,Dreamville,2
J. Cole,Smino,2
J. Cole,Bas,2
DJ Khaled,Poo Bear,2
DJ Khaled,Ace Hood,7
DJ Khaled,Mack Maine,5
DJ Khaled,SZA,1
DJ Khaled,Trina,4
DJ Khaled,Teyana Taylor,3
Chandler Moore,Maverick City Music,50
Chandler Moore,Naomi Raine,20
Chandler Moore,Kirk Franklin,10
Chandler Moore,Mav City Gospel Choir,10
Chandler Moore,Elevation Worship,7
Chandler Moore,Brandon Lake,5
Chandler Moore,Lizzie Morgan,4
Chandler Moore,Jonathan McReynolds,4
Chandler Moore,Israel & New Breed,3
Chandler Moore,Tasha Cobbs Leonard,3
Chandler Moore,DOE,3
Chandler Moore,Melvin Crispell III,3
Chandler Moore,Maryanne J. George,2
Chandler Moore,K.J. Scriven,2
Kirk Franklin,Khalid,6
Khalid,Alina Baraz,8
Khalid,Mariah Carey,6
Khalid,Ed Sheeran,5
Khalid,Rudimental,3
Khalid,Kane Brown,2
Khalid,Jax Jones,2
Khalid,Normani,4
Mariah Carey,Miguel,8
Mariah Carey,Westlife,6
Mariah Carey,Céline Dion,2
Mariah Carey,Gloria Estefan,2
Mariah Carey,Aretha Franklin,2
Mariah Carey,Shania Twain,2
Ed Sheeran,Hoodie Allen,2
Ed Sheeran,Alonestar,5
Ed Sheeran,Star.One,1
Ed Sheeran,A Boogie Wit da Hoodie,1
Ed Sheeran,Elton John,1
Ed Sheeran,Russ,1
Ed Sheeran,MK,1
Ed Sheeran,D.O.D,1
Ed Sheeran,Tion Wayne,1
Ed Sheeran,Central Cee,1
Ed Sheeran,Mikill Pane,2
Ed Sheeran,Devlin,3
Rudimental,Tion Wayne,5
Rudimental,John Newman,8
Rudimental,MNEK,4
Jax Jones,D.O.D,4
Jax Jones,Bebe,2
Poo Bear,GXTP,9
Poo Bear,Skrillex,6
Poo Bear,Step Up: High Water,4
Poo Bear,Sasha Sirota,2
Poo Bear,Redman,2
Poo Bear,Devin the Dude,2
Poo Bear,Eva Shaw,2
Poo Bear,LAZR,2
Poo Bear,Zara Larsson,1
Chris Redd,Kenan Thompson,2
Michael Bolton,Plácido Domingo,7
Michael Bolton,Ying Huang,5
Michael Bolton,Mickey Guyton,2
Julian Casablancas,Santigold,4
Julian Casablancas,N*E*R*D,4
Julian Casablancas,Daft Punk,3
Julian Casablancas,Danger Mouse,2
Julian Casablancas,Sparklehorse,2
Fred Armisen,Yo La Tengo,8
Fred Armisen,Zoe Lister-Jones,4
Fred Armisen,Adam Pally,4
Fred Armisen,Aimee Mann,2
Fred Armisen,Tim Heidecker,2
Fred Armisen,Daniel Cupps,2
Fred Armisen,Megan Hilty,2
Jon Hamm,Zoraida Córdova,3
Jon Hamm,Ansel Elgort,2
Jon Hamm,Paul Dini,2
Daft Punk,Dua Lipa,1
Daft Punk,Common,2
Daft Punk,Heartbeat da Producer,2
DJ ICE,The Baseballs,3
DJ ICE,Michael Bublé,3
DJ ICE,KatKa,2
DJ ICE,Olly Murs,2
DJ ICE,Glee Cast,2
DJ ICE,Lenna,2
DJ ICE,Alexandra Burke,2
Alexandra Burke,Erick Morillo,6
Alexandra Burke,Chiesa Musonda,2
Alexandra Burke,Dr Sid,2
Charli xcx,Troye Sivan,13
Charli xcx,Lil Yachty,6
Charli xcx,Mura Masa,2
Lil Yachty,DRAM,3
Lil Yachty,Zara Larsson,1
Lil Yachty,Lil Keed,3
Lil Yachty,Zaytoven,3
Lil Yachty,Dc2trill,3
Lil Yachty,Rio da Yung OG,2
Lil Yachty,A$AP Mob,2
Lil Yachty,A$AP Rocky,2
Lil Yachty,Famous Dex,2
Lil Yachty,thegoodperry,2
Lil Yachty,Jban$2Turnt,2
Lil Yachty,K$upreme,2
Lil Yachty,Lil Pump,2
Kenan Thompson,Anderson .Paak,4
Kenan Thompson,Icona Pop,3
Kenan Thompson,Anthony Ramos,2
Kenan Thompson,Ester Dean,2
Kenan Thompson,James Corden,2
Kenan Thompson,Kelly Clarkson,2
Anderson .Paak,ScHoolboy Q,2
Anderson .Paak,Ester Dean,3
Anderson .Paak,Dr. Dre,2
Anthony Ramos,Ester Dean,3
Ester Dean,Afrojack,9
Ester Dean,Michael Woods,9
Ester Dean,Emmy Raver-Lampman,4
Ester Dean,Amber Ruffin,4
Ester Dean,Kathryn Hahn,3
Ester Dean,Ciara,2
Kristen Wiig,Lola Bunny,2
Akon,Waterfall,5
Akon,Play‐N‐Skillz,7
Akon,Baby Bash,5
Akon,Kat DeLuna,2
Akon,MastikSoul,2
Akon,Dada,2
Akon,Paul G,2
Akon,Flo Rida,2
Akon,Hypaton,2
Akon,David Rush,3
Akon,IAmChino,3
Akon,Chacal,2
Coldplay,We Are KING,3
Coldplay,Jacob Collier,2
Coldplay,Eddy B & Tim Gunter,1
We Are KING,Sam Sparro,5
We Are KING,Robert Glasper Experiment,3
We Are KING,Jacob Collier,2
Jacob Collier,Metropole Orkest,5
Jacob Collier,Becca Stevens,4
Jacob Collier,Jules Buckley,4
Jacob Collier,Steve Vai,2
Jacob Collier,VOCES8,2
Jacob Collier,Tori Kelly,2
Jacob Collier,Kiana Ledé,2
Jules Buckley,The Heritage Orchestra,8
Kiana Ledé,MNEK,4
DJ Smallz,DJ Neptune,15
DJ Smallz,Juliu$,11
DJ Smallz,Tha Ayleyes,11
DJ Smallz,DJ Shurefire,11
DJ Smallz,JTru,2
DJ Smallz,Nickelus F,2
Nickelus F,Ohbliv,5
Nickelus F,Radio B.,4
Nickelus F,Namebrand,4
Nickelus F,Portishead,4
Nickelus F,Fly Anakin,3
Nickelus F,Koncept Jack$on,2
Nickelus F,Henny L.O.,2
Nickelus F,JR The Great,2
Nickelus F,Michael Millions,2
Tinashe,Snakehips,6
Tinashe,Chance the Rapper,6
Tinashe,ScHoolboy Q,3
Tinashe,Iggy Azalea,3
Snakehips,Chance the Rapper,6
Chance the Rapper,Hoodie Allen,2
Chance the Rapper,Jeremih,5
Chance the Rapper,SZA,1
Chance the Rapper,Vic Mensa,3
Chance the Rapper,Knox Fortune,2
Chance the Rapper,Action Bronson,2
Chance the Rapper,Saba,2
Chance the Rapper,Chuck Inglish,2
Chance the Rapper,Chip tha Ripper,2
ScHoolboy Q,E‐40,3
ScHoolboy Q,A$AP Rocky,3
ScHoolboy Q,Vince Staples,2
ScHoolboy Q,JasonMartin,2
ScHoolboy Q,Jahkoy,2
ScHoolboy Q,Devin Malik,2
Iggy Azalea,Dua Lipa,1
Iggy Azalea,Rita Ora,22
Iggy Azalea,Jennifer Lopez,8
Iggy Azalea,Angger Dimas,4
Iggy Azalea,JoeySuki,2
Mack Maine,Ace Hood,5
Mack Maine,Curren$y,17
Mack Maine,Boo,8
Mack Maine,Brisco,3
Mack Maine,Short Dawg,2
Mack Maine,Rich Gang,2
Mack Maine,Cory Gunz,2
Ace Hood,Ball Greezy,2
Vince Staples,Billie Eilish,1
Vince Staples,Earl Sweatshirt,6
Vince Staples,Mac Miller,3
Vince Staples,Joey Fatts,3
Vince Staples,Gorillaz,3
Vince Staples,Da$H,2
Vince Staples,Ab‐Soul,2
Vince Staples,Mike G,2
Static Major,Timbaland & Magoo,4
Static Major,Mr. Dalvin,2
Static Major,Aaliyah,2
Bobby Brackins,Jeremih,2
Juicy J,DJ Esco,2
Juicy J,DJ Fletch,16
DJ Esco,Casino,5
DJ Esco,Mexico Rann,2
DJ Esco,Stuey Rock,2
DJ Esco,Babyface Ray,2
Imran Khan,Thierry « Titi » Robin,2
Imran Khan,MC Spyder,2
Dinamarca,La Favi,8
Dinamarca,Meth Math,7
Popcaan,Fredo,2
Popcaan,Vybz Kartel,2
Popcaan,Vanessa Bling,2
Popcaan,Anju Blaxx,2
Popcaan,Davido,2
Popcaan,Chase & Status,2
Popcaan,IRah,2
Chase & Status,Clementine Douglas,3
Billie Eilish,FINNEAS,14
Billie Eilish,David Di Sabato,1
FINNEAS,Attacca Quartet,5
FINNEAS,The Favors,3
FINNEAS,Ashe,3
FINNEAS,Gabrielle Current,2
FINNEAS,Maggie Baird,2
Mac Miller,Termanology,3
Mac Miller,Statik Selektah,2
Mac Miller,Ab‐Soul,2
Mac Miller,RiFF RAFF,2
Mac Miller,SZA,1
Gorillaz,DRAM,5
Hoodie Allen,Connor Price,5
Hoodie Allen,Jared Evan,2
Hoodie Allen,MAX,2
Hoodie Allen,KYLE,2
Hoodie Allen,G‐Eazy,2
G‐Eazy,Nathan Sykes,7
Alonestar,Lifford Shillingford,2
Alonestar,Dirty Pop,2
Star.One,DJ Q,3
Star.One,Lily McKenzie,3
Star.One,Blinkie,3
Star.One,Bugzy Malone,3
Coi Leray,Trippie Redd,3
Coi Leray,Fetty Wap,2
Coi Leray,10X,2
A Boogie Wit da Hoodie,Don Q,5
A Boogie Wit da Hoodie,Roddy Ricch,3
A Boogie Wit da Hoodie,Trap Manny,2
A Boogie Wit da Hoodie,Giggs,2
Elton John,Billy Joel,5
Elton John,Taron Egerton,3
Elton John,Shakin’ Stevens,2
Elton John,Dua Lipa,14
Russ,Bugus,5
Russ,Collie Buddz,2
Russ,Dartlin,2
MK,Alana,19
MK,Jonas Blue,2
MK,Eyelar,2
MK,Carla Monroe,2
MK,Clementine Douglas,5
Jonas Blue,Izzy Bizu,2
D.O.D,Armin van Buuren,4
D.O.D,Laura Welsh,4
D.O.D,Cesar de Melero,3
D.O.D,The Melody Men,2
D.O.D,Cedric Gervais,2
D.O.D,RIELL,2
D.O.D,J.P. Candela,2
D.O.D,Jewelz & Sparks,2
D.O.D,Fedde Le Grand,2
D.O.D,Poppy Baskcomb,2
D.O.D,Becky Hill,2
D.O.D,Lewis Thompson,2
D.O.D,Charlotte Haining,2
Lewis Thompson,Clementine Douglas,4
Lewis Thompson,MNEK,2
Tion Wayne,Russ Millions,6
Tion Wayne,Swarmz,5
Tion Wayne,Jay1,4
Tion Wayne,NSG,3
Tion Wayne,Aitch,3
Tion Wayne,La Roux,3
Tion Wayne,E1 (3x3),2
Tion Wayne,ZT (3x3),2
Tion Wayne,Darkoo,2
Tion Wayne,Sav'O,2
Tion Wayne,6LACK,2
Tion Wayne,Afro B,2
Tion Wayne,Eight9FLY,2
Central Cee,Ice Spice,5
Central Cee,ASHE 22,2
Central Cee,Rondodasosa,2
Central Cee,Nemzzz,2
Mikill Pane,Joanna Moore,4
Mikill Pane,The Heavytrackerz,2
Mikill Pane,Doc Brown,2
Devlin,Ghetts,12
Devlin,Wiley,5
Devlin,Syer B,5
Devlin,Ice Kid,3
Devlin,Dogzilla,2
Devlin,Chip,2
Devlin,Jimmy Sharp,2
Jessie J,DJ Cassidy,13
Jessie J,Robin Thicke,13
Jessie J,Don Diablo,3
Doja Cat,Saweetie,7
Doja Cat,Bebe Rexha,5
Doja Cat,Megan Thee Stallion,2
Doja Cat,Bebe,5
Saweetie,H.E.R.,3
Bebe Rexha,Bebe,79
Bebe Rexha,The Chainsmokers,7
Megan Thee Stallion,Cardi B,5
Megan Thee Stallion,Juvenile,2
Megan Thee Stallion,Maroon 5,1
Megan Thee Stallion,SZA,1
Cardi B,Normani,2
Graham Phillips,[theatre],3
Graham Phillips,Aaron Simon Gross,3
Graham Phillips,Allie Trimm,3
Graham Phillips,Eric Nelsen,2
[theatre],Austen Danielle Bohmer,7
[theatre],Glyndebourne Chorus,6
[theatre],Thomas Blunt,6
[theatre],Orchestra of the Age of Enlightenment,6
[theatre],Iván Fischer,6
[theatre],Lauren Samuels,5
[theatre],Xavier McKinnon,3
[theatre],Aymee Garcia,3
[theatre],Alex Vinh,3
[theatre],Erica Ito,2
[theatre],Jack Costello,2
The Shin Sekaï,Black M,3
The Shin Sekaï,Abou Debeing,2
The Shin Sekaï,GIMS,2
The Shin Sekaï,Dry,2
The Shin Sekaï,L'Institut,2
Tchami,Malaa,21
Tchami,Mercer,7
Tchami,DJ Snake,6
Tchami,HANA,5
Tchami,Todd Edwards,3
Tchami,Kaleena Zanders,3
Tchami,AC Slater,3
Tchami,ZHU,3
Tchami,Chace,2
Tchami,Kaleem Taylor,2
Tchami,Habstrakt,2
Tchami,Lena Leon,2
Tchami,Tony Romera,2
Tchami,Styalz Fuego,2
Arturo Sandoval,Marius Preda,3
Arturo Sandoval,Mike Stern,3
Arturo Sandoval,Dennis Chambers,3
Arturo Sandoval,Tom Kennedy,3
Arturo Sandoval,Teymur Phell,3
Arturo Sandoval,Tudy Zaharescu,3
Arturo Sandoval,Vladimir Cosma,3
Arturo Sandoval,Juan Pablo Torres,3
Arturo Sandoval,Chucho Valdés,3
Arturo Sandoval,WDR Big Band Köln,3
Arturo Sandoval,Joey DeFrancesco,2
Beéle,Shakira,2
Beéle,Manuel Turizo,5
Beéle,Boza,2
Beéle,Totoy el Frío,2
Beéle,Manú,2
Beéle,Nanpa Básico,2
MC Fioti,MC Lan,6
MC Fioti,Mc Ju Bronx,4
MC Fioti,Mc Gimenes,4
MC Fioti,Dj Hanter,4
MC Fioti,MC Gnomo,3
MC Fioti,Mc DR,3
MC Fioti,MC 2R,3
MC Fioti,Mc Luan Zk,2
MC Fioti,MC Vitinho 011,2
MC Fioti,Topo la Máskara,2
MC Fioti,MC Dieguinho,2
MC Fioti,Juan Magán,3
Juan Magán,César del Río,8
Juan Magán,Bodytalk,5
Juan Magán,Marcos Rodríguez,5
Juan Magán,Rich the Kid,3
Juan Magán,RJ Word,3
Juan Magán,El Cata,3
Juan Magán,Luciana,3
Juan Magán,Yera,2
Juan Magán,Don Omar,2
Juan Magán,Víctor Magán,2
Fuego,Jacob Forever,5
Fuego,DJ Shorty,4
Fuego,LDA,2
Fuego,Sensato,2
Fuego,Elvis Costello & The Attractions,2
Fuego,Raquel Sofía,2
Fuego,IAmChino,2
Jacob Forever,Chacal,2
De La Ghetto,KEVVO,2
Tito “El Bambino”,IAmChino,3
KEVVO,Guaynaa,3
Afrojack,Ally Brooke,11
Afrojack,The Partysquad,7
Afrojack,Chico Rose,3
Afrojack,Lucas & Steve,3
Afrojack,DubVision,5
Afrojack,Bonnie McKee,3
Afrojack,R3HAB,2
Afrojack,Mougleta,2
Afrojack,Julian Cross,2
Afrojack,Ambush,2
Afrojack,Mike Williams,2
Lucas & Steve,DubVision,5
DubVision,Zara Larsson,1
DubVision,Martin Garrix,7
DubVision,Feenixpawl,4
DubVision,Jaimes,4
DubVision,Deep Vice,3
DubVision,Syzz,2
DubVision,Sick Individuals,2
DubVision,Jordan Jade,2
DubVision,HANDED,2
DubVision,Joe Taylor,2
Mike Williams,Nicky Romero,2
GLOWINTHEDARK,S.F.B.,12
GLOWINTHEDARK,Philly Moré,10
GLOWINTHEDARK,Chuckie,8
GLOWINTHEDARK,Harrison,3
GLOWINTHEDARK,Nate,2
GLOWINTHEDARK,Ronnie Flex,2
GLOWINTHEDARK,Deorro,2
Harrison,George Harrison,52
Harrison,Ringo Starr,3
Harrison,Ravi Shankar,2
Deorro,IAmChino,3
Joachim Garraud,Charlie Sputnik,8
Joachim Garraud,Ridwello,7
Joachim Garraud,Saito Miyu,5
Joachim Garraud,Sarah Grays,5
Joachim Garraud,Anaklein,4
Joachim Garraud,Alesia,4
Joachim Garraud,Chynna Blue,3
Joachim Garraud,Tara McDonald,2
Joachim Garraud,Julien Créance,2
Joachim Garraud,Roland Clark,2
Joachim Garraud,Chris Willis,4
Waterfall,Play‐N‐Skillz,5
Play‐N‐Skillz,Lil’ Flip,5
Play‐N‐Skillz,Big Tuck,5
Play‐N‐Skillz,Chamillionaire,4
Play‐N‐Skillz,A‐Roma,3
Play‐N‐Skillz,R.J.,3
Play‐N‐Skillz,Frankie J,3
Play‐N‐Skillz,Krayzie Bone,3
Play‐N‐Skillz,Bun B,3
Play‐N‐Skillz,Adina Howard,3
Flo Rida,Marta Sánchez,20
Flo Rida,A‐Roma,2
Hypaton,La Bouche,4
Hypaton,Giuseppe Ottaviani,4
Hypaton,Europe,2
Hypaton,Bonnie Tyler,2
Hypaton,RAYE,2
RAYE,The Heritage Orchestra,13
Kungs,Krystal Klear,4
Kungs,Jamie N Commons,3
Kungs,PNAU,3
Kungs,Boys Noize,2
Kungs,Izzy Bizu,2
Kungs,StarGate,2
Kungs,Josh Golden,2
Kungs,Rose Gray,2
Izzy Bizu,Zerb,10
Izzy Bizu,Sofiya Nzau,10
Izzy Bizu,HONNE,7
Izzy Bizu,Ferreck Dawn,3
Izzy Bizu,Joel Corry,3
Izzy Bizu,Galantis,3
Izzy Bizu,ODESZA,3
Izzy Bizu,KSHMR,2
Izzy Bizu,Milky Chance,2
Izzy Bizu,Robin Schulz,2
Izzy Bizu,CAKES,2
Izzy Bizu,BUNT.,2
Zerb,The Chainsmokers,14
Joel Corry,MNEK,21
Galantis,MNEK,2
Chris Willis,LMFAO,14
Chris Willis,Ultra Naté,10
Chris Willis,Sebastian Ingrosso,9
Chris Willis,Steve Angello,9
Chris Willis,Rave Radio,3
Chris Willis,Sean Finn,3
Chris Willis,Celestal,2
Chris Willis,RuPaul,2
LMFAO,David Rush,2
Sebastian Ingrosso,Alesso,17
MORTEN,Frida Sundemo,11
MORTEN,Nik & Jay,5
MORTEN,Camille Jones,5
MORTEN,ARTBAT,4
MORTEN,Borgeous,2
MORTEN,Lanie Gardner,2
MORTEN,Bonn,2
MORTEN,Joey Moe,2
Shakira,Alejandro Sanz,3
Shakira,Grupo Frontera,1
Shakira,Aleks Syntek,1
Shakira,Bebe,1
Shakira,Belinda,1
Shakira,Mala Rodríguez,1
Shakira,Carlos Jean,1
Shakira,José Mercé,1
Shakira,Miguel Bosé,1
Shakira,La Oreja de Van Gogh,1
Shakira,Marta Sánchez,1
Shakira,Juanes,1
Shakira,Macaco,1
Alejandro Sanz,José Mercé,2
Alejandro Sanz,Juanes,2
Grupo Frontera,Fuerza Regida,7
Grupo Frontera,Carin León,6
Grupo Frontera,Yahritza y su Esencia,2
Grupo Frontera,Manuel Turizo,2
Grupo Frontera,Tito Double P,2
Grupo Frontera,Grupo Firme,2
Manuel Turizo,Marshmello,3
Aleks Syntek,Playa Limbo,3
Aleks Syntek,Fey,2
Aleks Syntek,Miguel Bosé,2
Miguel Bosé,Juanes,2
Bebe,The Chainsmokers,7
Bebe,Alok,5
Bebe,Topic,5
Bebe,Louis Tomlinson,3
Bebe,Digital Farm Animals,3
Bebe,Otto Knows,3
Bebe,Faithless,2
Bebe,Carlos Jean,2
Bebe,Marta Sánchez,2
Bebe,Macaco,2
The Chainsmokers,Dua Lipa,1
The Chainsmokers,Ink,14
The Chainsmokers,Phoebe Ryan,6
The Chainsmokers,bülow,4
The Chainsmokers,Andrew Hollander,2
The Chainsmokers,Absolutely,2
The Chainsmokers,ELIO,2
The Chainsmokers,Kygo,5
Topic,Clean Bandit,5
Belinda,Belinda Carlisle,37
Mala Rodríguez,Chulito Camacho,2
Mala Rodríguez,Kultama,2
Mala Rodríguez,Beatriz Luengo,2
Mala Rodríguez,Kamikaze,2
Mala Rodríguez,Kase.O,2
Carlos Jean,La Oreja de Van Gogh,2
Carlos Jean,Electric Nana,2
La Oreja de Van Gogh,Txetxo Bengoetxea,2
La Oreja de Van Gogh,Los Acústicos,2
José Mercé,Tomatito,6
José Mercé,Enrique de Melchor,3
José Mercé,María Dolores Pradera,2
Marta Sánchez,JEAN MARIE,15
Marta Sánchez,Carlos Baute,4
Juanes,Mon Laferte,2
Juanes,Pablo Milanés,2
Juanes,Morat,2
Macaco,Vandals Gang,6
Macaco,Cheetos,6
Macaco,Calima,2
Macaco,Jorge Drexler,2
SZA,Calvin Harris,1
SZA,anti.negative,1
SZA,DRAM,1
SZA,Jarreau Vandal,1
SZA,Normani,1
SZA,ButeraMoonlight,1
SZA,James Blake,1
SZA,WILLOW,1
Funkadelic,Parliament,8
Funkadelic,George Clinton,6
Funkadelic,“Little” Louie Vega,6
Funkadelic,U.S. Music,2
Funkadelic,Octavepussy,2
Dr. Dre,Knoc‐Turn’Al,5
Dr. Dre,Hittman,4
Dr. Dre,Eminem,2
Dr. Dre,Nature,2
Dr. Dre,Rakim,2
Dr. Dre,Sting,2
Dr. Dre,Six-2,2
Dr. Dre,Fila Fresh Crew,2
Dr. Dre,DJ Critical Hype,2
