artist1,artist2
Lil Wayne,Nicki Minaj
Lil Wayne,Ne‐Yo
Lil Wayne,Bruno Mars
Lil Wayne,Nayer
Lil Wayne,Afrojack
Lil Wayne,Black Eyed Peas
Lil Wayne,Aloe Blacc
Lil Wayne,Flo Rida
Lil Wayne,Pitbull
Lil Wayne,Beyoncé
Lil Wayne,Alexis Jordan
David Guetta,Jennifer Lopez
David Guetta,Nicki Minaj
David Guetta,Ne‐Yo
David Guetta,Bruno Mars
David Guetta,Nayer
David Guetta,Afrojack
David Guetta,Black Eyed Peas
David Guetta,Aloe Blacc
David Guetta,Flo Rida
David Guetta,Pitbull
David Guetta,Beyoncé
David Guetta,Alexis Jordan
Jennifer Lopez,Nicki Minaj
Jennifer Lopez,Ne‐Yo
Jennifer Lopez,Bruno Mars
Jennifer Lopez,Nayer
Jennifer Lopez,Afrojack
Jennifer Lopez,Black Eyed Peas
Jennifer Lopez,Aloe Blacc
Jennifer Lopez,Flo Rida
Jennifer Lopez,Pitbull
Jennifer Lopez,Beyoncé
Jennifer Lopez,Alexis Jordan
Nicki Minaj,Ne‐Yo
Nicki Minaj,Bruno Mars
Nicki Minaj,Nayer
Nicki Minaj,Afrojack
Nicki Minaj,Black Eyed Peas
Nicki Minaj,Aloe Blacc
Nicki Minaj,Flo Rida
Nicki Minaj,Pitbull
Nicki Minaj,Beyoncé
Nicki Minaj,Alexis Jordan
Ne‐Yo,Bruno Mars
Ne‐Yo,Nayer
Ne‐Yo,Afrojack
Ne‐Yo,Black Eyed Peas
Ne‐Yo,Aloe Blacc
Ne‐Yo,Flo Rida
Ne‐Yo,Pitbull
Ne‐Yo,Beyoncé
Ne‐Yo,Alexis Jordan
Bruno Mars,Nayer
Bruno Mars,Afrojack
Bruno Mars,Black Eyed Peas
Bruno Mars,Aloe Blacc
Bruno Mars,Flo Rida
Bruno Mars,Pitbull
Bruno Mars,Beyoncé
Bruno Mars,Alexis Jordan
Nayer,Afrojack
Nayer,Black Eyed Peas
Nayer,Aloe Blacc
Nayer,Flo Rida
Nayer,Pitbull
Nayer,Beyoncé
Nayer,Alexis Jordan
Afrojack,Black Eyed Peas
Afrojack,Aloe Blacc
Afrojack,Flo Rida
Afrojack,Pitbull
Afrojack,Beyoncé
Afrojack,Alexis Jordan
Black Eyed Peas,Aloe Blacc
Black Eyed Peas,Flo Rida
Black Eyed Peas,Pitbull
Black Eyed Peas,Beyoncé
