artist,num_collaborators,known_genres,dominant_collaborator_genre,dominant_collaborator_genre_count,top_5_collaborator_genres,has_metadata
Desiire,26,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Detail,5,,Hip-Hop,2,"[('Hip-Hop', 2), ('R&B', 1)]",False
Devi April McCallion,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Devito,1,,EDM,1,"[('EDM', 1)]",False
Devlin,9,,Pop,1,"[('Pop', 1)]",False
Dhee,3,,Pop,1,"[('Pop', 1)]",False
Dhrruv Yogi,6,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1), ('Bollywood', 1)]",False
Diamond Flow,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
Diana Gordon,3,,EDM,1,"[('EDM', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
Diana Ross,2,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Dibyo,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Diddy,22,,R&B,4,"[('R&B', 4), ('Hip-Hop', 3), ('Pop', 3)]",False
Diddy – Dirty Money,2,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Dido,4,,Hip-Hop,2,"[('Hip-Hop', 2)]",False
Die Fantastischen Vier,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dijon,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Dilated Peoples,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Diljit Dosanjh,21,,Bollywood,2,"[('Bollywood', 2), ('Pop', 2), ('Latin Pop', 1), ('Hip-Hop', 1), ('EDM', 1)]",False
Dillin Hoox,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dillon Francis,2,,EDM,1,"[('EDM', 1)]",False
Dilu Dilwala,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dimatik,3,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Trap', 1), ('Hip-Hop', 1), ('R&B', 1)]",False
Dimitri Vangelis,3,,EDM,1,"[('EDM', 1)]",False
Dimitri Vegas,7,,EDM,1,"[('EDM', 1)]",False
Dimitri Vegas & Like Mike,15,,EDM,2,"[('EDM', 2), ('Hip-Hop', 1), ('Pop', 1), ('Reggaeton', 1)]",False
Dina Rae,5,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dinamarca,2,,R&B,2,"[('R&B', 2), ('Pop', 1), ('Hip-Hop', 1)]",False
Dinka,3,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Pop Rock', 1), ('Alternative', 1), ('EDM', 1)]",False
Diox,3,,Hip-Hop,2,"[('Hip-Hop', 2)]",False
Diplo,24,,Pop,4,"[('Pop', 4), ('R&B', 2), ('Reggaeton', 1), ('Latin Trap', 1), ('EDM', 1)]",False
Dirtbag,1,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Dirty Ducks,1,,Pop,1,"[('Pop', 1)]",False
Dirty Money,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dirty Pop,2,,Pop,1,"[('Pop', 1)]",False
Dirty South,4,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1), ('EDM', 1)]",False
Disciples,19,,EDM,2,"[('EDM', 2), ('Pop', 1)]",False
Disclosure,1,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Disco Fries,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Disturbed,1,,Pop,1,"[('Pop', 1)]",False
Diva,4,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Dizzee Rascal,47,,Pop,2,"[('Pop', 2), ('R&B', 2), ('EDM', 1), ('Latin Pop', 1), ('Pop Rock', 1)]",False
Dizzman,7,,Pop,2,"[('Pop', 2), ('R&B', 1), ('EDM', 1), ('Hip-Hop', 1), ('Pop Rock', 1)]",False
Dj Mhark,1,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Funk', 1)]",False
Django Django,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Djedjotronic,19,,EDM,1,"[('EDM', 1), ('Pop', 1), ('R&B', 1)]",False
Do or Die,2,,,0,[],False
Dobarro,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Doc Roc,3,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Dody6,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Doechii,8,,R&B,2,"[('R&B', 2), ('EDM', 1), ('Pop', 1), ('Hip-Hop', 1)]",False
Dogmatic,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Doja Cat,7,"Pop, Hip-Hop",R&B,3,"[('R&B', 3), ('Pop', 3), ('Hip-Hop', 1), ('Dance', 1)]",True
Dolly Parton,1,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Dom Kennedy,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Domingo,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dominic Fike,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Don C,4,,,0,[],False
Don Diablo,2,,Pop,1,"[('Pop', 1), ('R&B', 1), ('EDM', 1)]",False
Don Dinero,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Don Mayor,4,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Don Miguelo,3,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
Don Omar,17,Reggaeton,Reggaeton,3,"[('Reggaeton', 3), ('Latin Trap', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",True
Don Toliver,16,Hip-Hop,R&B,3,"[('R&B', 3), ('Hip-Hop', 3), ('Pop', 2)]",True
Donae’o,2,,EDM,1,"[('EDM', 1)]",False
Donald Glover,3,,R&B,2,"[('R&B', 2), ('Pop', 1)]",False
Donkong,3,,Alternative Pop,1,"[('Alternative Pop', 1)]",False
Donna Summer,1,,,0,[],False
Donnis,1,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Donovan Woods,26,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Dora the Explorer,1,,Latin Pop,1,"[('Latin Pop', 1)]",False
Dot Rotten,2,,Pop,1,"[('Pop', 1)]",False
Dougie F,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Dove Cameron,9,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Dr. Donda West,2,,,0,[],False
Dr. Dre,71,,Hip-Hop,4,"[('Hip-Hop', 4), ('R&B', 2), ('Pop', 1), ('Funk', 1), ('Alternative Rock', 1)]",False
Dr. Fresch,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Draco Rosa,1,,Latin Pop,1,"[('Latin Pop', 1)]",False
Dragonfly,3,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Dragón & Caballero,5,,Reggaeton,2,"[('Reggaeton', 2)]",False
Drake,355,"Hip-Hop, R&B",Pop,12,"[('Pop', 12), ('Hip-Hop', 12), ('R&B', 9), ('Reggaeton', 2), ('Pop Rock', 1)]",True
Drakeo the Ruler,1,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Dramills,1,,,0,[],False
Dre,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dream Ami,1,,Latin Pop,1,"[('Latin Pop', 1)]",False
Dreamtrak Diamond Sound,4,,,0,[],False
Dree,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dreezy,3,,,0,[],False
Drego,10,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
DrewsDatDude,2,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Driicky Graham,2,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Droop‐E,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Druski,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Dua Lipa,94,"Pop, Dance",Pop,15,"[('Pop', 15), ('R&B', 4), ('EDM', 3), ('Hip-Hop', 3), ('Reggaeton', 2)]",True
DubVision,7,,EDM,1,"[('EDM', 1), ('Pop', 1)]",False
Dubb,6,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dubbel Dutch,1,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Dubdogz,2,,EDM,1,"[('EDM', 1)]",False
Dubmood,2,,Pop,1,"[('Pop', 1), ('Dance', 1)]",False
Duck Sauce,9,,EDM,1,"[('EDM', 1)]",False
Duffy,1,,,0,[],False
Duke Ellington,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Duke Pearson,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Duki,10,,Reggaeton,2,"[('Reggaeton', 2), ('Latin Trap', 1)]",False
Dunkey,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dunson,1,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Duran Duran,1,,Pop,1,"[('Pop', 1), ('Dance', 1)]",False
Dwane Husbands,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Dwayne Husbands,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Dwele,8,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Dylan Bounce,1,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Dyland & Lenny,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Dynamic DJ Twins,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Dystinct,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
Dímelo Flow,4,,Reggaeton,1,"[('Reggaeton', 1)]",False
D‐Block,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
D‐Block Europe,1,,Pop,1,"[('Pop', 1)]",False
D‐Life,1,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
D’Mingo,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
D’banj,2,,,0,[],False
E.S. Posthumus,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
EDDIE,2,,EDM,1,"[('EDM', 1)]",False
EJAE,5,,EDM,1,"[('EDM', 1)]",False
EPMD,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Ead3n,1,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Earl Sweatshirt,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
"Earth, Wind & Fire",2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Eastwood,6,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Easy Lantana,4,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Eazy‐E,7,,Hip-Hop,2,"[('Hip-Hop', 2)]",False
Ebro Darden,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Ed Sheeran,183,Pop,Pop,10,"[('Pop', 10), ('R&B', 6), ('Hip-Hop', 4), ('Funk', 1), ('Soul', 1)]",True
Eddie Benjamin,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Eddy B & Tim Gunter,1,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1)]",False
Edgar Meyer,5,,Pop,1,"[('Pop', 1), ('Country', 1)]",False
Efb Deejays,1,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Ego Nwodim,10,,Pop,2,"[('Pop', 2), ('R&B', 2), ('Alternative', 1)]",False
Eiffel 65,2,,EDM,1,"[('EDM', 1)]",False
El Alfa,9,,Reggaeton,3,"[('Reggaeton', 3), ('Latin Trap', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
El Canto del Loco,16,,Latin Pop,1,"[('Latin Pop', 1)]",False
El Cata,9,,Latin Pop,2,"[('Latin Pop', 2), ('Hip-Hop', 1), ('Reggaeton', 1)]",False
El Chevo,3,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
El Chombo,3,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
El Fother,9,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Trap', 1)]",False
El Guincho,2,,Reggaeton,1,"[('Reggaeton', 1)]",False
El Micha,6,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
El Taiger,4,,Reggaeton,2,"[('Reggaeton', 2), ('Latin Trap', 1)]",False
Eladio Carrión,5,,Reggaeton,3,"[('Reggaeton', 3), ('Latin Trap', 1)]",False
Elektrik Haze,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Elephant Man,7,,Reggaeton,2,"[('Reggaeton', 2), ('Pop', 1), ('R&B', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
Elettra Lamborghini,3,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Elisa,1,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1)]",False
Eliza,5,,R&B,1,"[('R&B', 1), ('Pop', 1), ('Latin Pop', 1)]",False
Eliza Rose,1,,EDM,1,"[('EDM', 1)]",False
Ella Henderson,3,,EDM,1,"[('EDM', 1)]",False
Ella Mai,1,,Pop,1,"[('Pop', 1)]",False
Ellie Goulding,63,Pop,Pop,4,"[('Pop', 4), ('Hip-Hop', 2), ('R&B', 2), ('Latin Pop', 1), ('EDM', 1)]",True
Ellinoora,1,,Pop,1,"[('Pop', 1)]",False
Elliphant,5,,Pop,1,"[('Pop', 1), ('R&B', 1), ('EDM', 1)]",False
Elly Jackson,23,,Hip-Hop,2,"[('Hip-Hop', 2), ('R&B', 2), ('Pop', 2), ('Latin Pop', 1), ('Rock', 1)]",False
Elon Rutberg,3,,,0,[],False
Elton John,20,"Pop, Rock",Pop,4,"[('Pop', 4), ('Hip-Hop', 3), ('R&B', 2), ('Dance', 2), ('Pop Rock', 1)]",True
Elvis Crespo,45,,Latin Pop,2,"[('Latin Pop', 2), ('Hip-Hop', 1)]",False
Elyanna,9,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1)]",False
Emeli Sandé,28,,Pop,2,"[('Pop', 2), ('Hip-Hop', 1), ('Dance', 1), ('Dancehall', 1), ('EDM', 1)]",False
Emile Haynie,1,,Alternative Pop,1,"[('Alternative Pop', 1)]",False
Eminem,422,Hip-Hop,Pop,9,"[('Pop', 9), ('R&B', 8), ('Hip-Hop', 6), ('Pop Rock', 1), ('Alternative', 1)]",True
Emjae,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Emmanuel,43,,Latin Pop,1,"[('Latin Pop', 1)]",False
Empire of the Sun,2,,EDM,1,"[('EDM', 1)]",False
Enrique Iglesias,26,,Hip-Hop,4,"[('Hip-Hop', 4), ('Pop', 4), ('Reggaeton', 1), ('Latin Trap', 1), ('Latin Pop', 1)]",False
Ensi,3,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Funk', 1)]",False
Enur,3,,Pop,1,"[('Pop', 1), ('Soul', 1), ('EDM', 1)]",False
Enzo Ortiz,2,,Reggaeton,2,"[('Reggaeton', 2)]",False
Ephraim Sykes,8,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Eric Clapton,4,,Latin Pop,1,"[('Latin Pop', 1)]",False
Eric Darken,5,,Pop,1,"[('Pop', 1), ('Country', 1)]",False
Erykah Badu,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Eshon Burgundy,3,,Pop,1,"[('Pop', 1)]",False
Esperanza Spalding,1,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Funk', 1)]",False
Estelle,6,,EDM,1,"[('EDM', 1)]",False
Estello,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Ester Dean,2,,EDM,1,"[('EDM', 1)]",False
Ethan Slater,4,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Etta James,12,,EDM,1,"[('EDM', 1)]",False
Europe,2,,EDM,1,"[('EDM', 1)]",False
Eurythmics,7,,Pop,2,"[('Pop', 2), ('Dance', 1), ('EDM', 1), ('Hip-Hop', 1)]",False
Evan Landes,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Evanescence,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Eve,10,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
ExPLOiX Music,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Example,36,,Hip-Hop,3,"[('Hip-Hop', 3), ('Pop', 3), ('EDM', 2), ('R&B', 2), ('Latin Pop', 1)]",False
Eye‐Kyu,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Ez Mil,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
E‐40,34,,Hip-Hop,3,"[('Hip-Hop', 3), ('Latin Pop', 1)]",False
FAANGS,3,,EDM,1,"[('EDM', 1)]",False
FAST BOY,3,,EDM,1,"[('EDM', 1)]",False
FEDUK,2,,Pop,1,"[('Pop', 1)]",False
FERG,7,,R&B,2,"[('R&B', 2), ('Hip-Hop', 1), ('Pop', 1)]",False
FIFA Sound,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
FINNEAS,3,,Pop,1,"[('Pop', 1), ('Alternative', 1)]",False
FKA twigs,8,,Pop,2,"[('Pop', 2), ('R&B', 1), ('Dance', 1)]",False
FS Green,4,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
FVR1,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Faber,3,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1)]",False
Fabo,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Fabolous,55,,R&B,5,"[('R&B', 5), ('Hip-Hop', 4), ('Pop', 4), ('Latin Pop', 1)]",False
Fabri Fibra,5,,Reggaeton,1,"[('Reggaeton', 1)]",False
Fainal & Shako,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
Faithless,8,,EDM,1,"[('EDM', 1), ('Pop', 1)]",False
Falco,17,,Pop,5,"[('Pop', 5), ('Dance', 1), ('R&B', 1), ('Hip-Hop', 1)]",False
Fall Out Boy,8,,Pop,1,"[('Pop', 1), ('Country', 1), ('Hip-Hop', 1)]",False
Fancy Olsen,6,,Pop,4,"[('Pop', 4), ('R&B', 2), ('EDM', 1), ('Dance', 1)]",False
Fantemix,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Faouzia,1,,EDM,1,"[('EDM', 1)]",False
Far East Movement,10,,R&B,3,"[('R&B', 3), ('Pop', 2), ('Hip-Hop', 2), ('EDM', 1), ('Funk', 1)]",False
Far Too Loud,2,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Funk', 1)]",False
Farruko,51,Reggaeton,Reggaeton,4,"[('Reggaeton', 4), ('Hip-Hop', 3), ('Latin Trap', 2), ('EDM', 2), ('Latin Pop', 1)]",True
Fat Joe,56,,Hip-Hop,3,"[('Hip-Hop', 3), ('Reggaeton', 2), ('Latin Pop', 1), ('EDM', 1)]",False
Fatboy Slim,19,,Hip-Hop,1,"[('Hip-Hop', 1), ('EDM', 1)]",False
Father John Misty,1,,Alternative Pop,1,"[('Alternative Pop', 1)]",False
Fatin Dantzler,4,,,0,[],False
Fatman Scoop,14,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Fedde Le Grand,14,,EDM,2,"[('EDM', 2)]",False
Fedez,2,,Pop,2,"[('Pop', 2), ('R&B', 1)]",False
Feel‐X,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Feenixpawl,12,,EDM,1,"[('EDM', 1), ('Dancehall', 1), ('Pop', 1), ('Dance', 1)]",False
Fefe Dobson,26,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Feid,11,,Reggaeton,4,"[('Reggaeton', 4), ('Latin Trap', 1)]",False
Felix Snow,1,,R&B,1,"[('R&B', 1)]",False
Felix da Housecat,2,,EDM,1,"[('EDM', 1)]",False
Ferd,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Ferenc Fricsay,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Fergie,20,,Hip-Hop,3,"[('Hip-Hop', 3), ('R&B', 3), ('Pop', 3), ('Latin Pop', 1), ('Rock', 1)]",False
Fetty Wap,9,,Hip-Hop,4,"[('Hip-Hop', 4), ('EDM', 1), ('Pop', 1), ('R&B', 1)]",False
Fher Olvera,8,,Latin Pop,1,"[('Latin Pop', 1)]",False
Fideles,9,,EDM,1,"[('EDM', 1)]",False
Fifth Harmony,1,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Filmore,1,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Firebeatz,1,,EDM,1,"[('EDM', 1)]",False
Fireboy DML,5,,Reggaeton,1,"[('Reggaeton', 1), ('Pop', 1)]",False
First Aid Kit,1,,Pop,1,"[('Pop', 1)]",False
Fivio Foreign,12,,Hip-Hop,2,"[('Hip-Hop', 2), ('R&B', 1)]",False
Fleur East,9,,Pop,3,"[('Pop', 3), ('R&B', 2), ('EDM', 1), ('Hip-Hop', 1)]",False
Flight Facilities,1,,,0,[],False
Flo Milli,2,,R&B,1,"[('R&B', 1)]",False
Flo Rida,68,,Pop,7,"[('Pop', 7), ('R&B', 5), ('Hip-Hop', 4), ('EDM', 2), ('Funk', 1)]",False
Florence + the Machine,6,,EDM,2,"[('EDM', 2), ('Pop', 2), ('R&B', 1), ('Hip-Hop', 1), ('Country', 1)]",False
Florence Welch,4,,Pop,1,"[('Pop', 1), ('Dance', 1), ('EDM', 1)]",False
Florida,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Florida Georgia Line,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
FloyyMenor,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
Flying Lotus,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Fonzworth Bentley,4,,,0,[],False
Foreign Beggars,6,,EDM,1,"[('EDM', 1)]",False
Foster the People,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Foxy Brown,2,,,0,[],False
Foz Tee,2,,Hip-Hop,2,"[('Hip-Hop', 2), ('R&B', 1)]",False
Francis and the Lights,5,,R&B,1,"[('R&B', 1), ('Pop', 1)]",False
Francisco,2,,EDM,1,"[('EDM', 1)]",False
Frank Ocean,23,,Hip-Hop,3,"[('Hip-Hop', 3), ('Pop', 2), ('EDM', 1), ('R&B', 1)]",False
Frankie Grande,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Frankie J,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Frankie Valli,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Freaks,14,,EDM,2,"[('EDM', 2), ('Pop', 1), ('Dance', 1)]",False
Fred Armisen,14,,Pop,3,"[('Pop', 3), ('R&B', 3), ('Dance', 1)]",False
Fred Durst,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Fred Hammond,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Fred again..,2,,Pop,1,"[('Pop', 1), ('Dance', 1)]",False
Fred the Godson,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Freddie Gibbs,6,,Hip-Hop,2,"[('Hip-Hop', 2)]",False
Fredo Santana,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Freeway,9,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
French Montana,31,,Hip-Hop,5,"[('Hip-Hop', 5), ('R&B', 3), ('Pop', 2), ('Alternative Pop', 1), ('Reggaeton', 1)]",False
Freshlyground,1,,Latin Pop,1,"[('Latin Pop', 1)]",False
Freszko,2,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
Frostie,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Fuego,6,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1), ('Reggaeton', 1)]",False
Fuerza Regida,3,Regional Mexican,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1), ('R&B', 1)]",True
Funkadelic,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Funkmaster Flex,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Fuse ODG,2,,Pop,1,"[('Pop', 1)]",False
Future,63,Hip-Hop,R&B,8,"[('R&B', 8), ('Hip-Hop', 7), ('Pop', 7), ('Reggaeton', 2), ('Latin Trap', 2)]",True
Fuzz,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
G.O.O.D. Music,1,,,0,[],False
G.R.L.,1,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
GAZZI,1,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
GD&TOP,4,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Funk', 1)]",False
GIMS,2,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Pop', 1), ('Hip-Hop', 1)]",False
GIVĒON,4,,R&B,2,"[('R&B', 2), ('Pop', 1), ('Hip-Hop', 1)]",False
GLC,21,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
GLOWINTHEDARK,6,,EDM,1,"[('EDM', 1)]",False
GRIP,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
GZA/Genius,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Gabby,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Gabito Ballesteros,1,,Reggaeton,1,"[('Reggaeton', 1)]",False
Gabriel & Dresden,1,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1)]",False
Gabriela Berlingeri,1,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Trap', 1)]",False
Gabry Ponte,3,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Galantis,21,,EDM,2,"[('EDM', 2), ('Pop', 1)]",False
Gallant,1,,Pop,1,"[('Pop', 1), ('Dance', 1)]",False
Gammer,5,,EDM,1,"[('EDM', 1)]",False
Gangsta Boo,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Ganxsta Ridd,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Garcia,12,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Garrett Clayton,8,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Gary Barlow,9,,Pop,1,"[('Pop', 1)]",False
Gary Lightbody,2,,Pop,2,"[('Pop', 2), ('Country', 1)]",False
Gavin Graham,1,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Geddy Lee,26,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Gee Watts,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Gene Noble,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Gente de Zona,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Geolier,2,,Reggaeton,1,"[('Reggaeton', 1)]",False
George,2,,Hip-Hop,1,"[('Hip-Hop', 1), ('R&B', 1)]",False
George Birge,2,,Alternative Pop,1,"[('Alternative Pop', 1)]",False
George Clinton,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
George Kwali,5,,Pop,1,"[('Pop', 1), ('Dance', 1), ('EDM', 1)]",False
George Michael,6,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Georgi Kay,9,,EDM,1,"[('EDM', 1)]",False
